system:index,NDVI_count,NDVI_max,NDVI_mean,NDVI_median,NDVI_min,NDVI_stdDev,image_count,month,year,.geo
32,71346,0.80705,0.5333606759728285,0.5371068892334135,-0.1155,0.10130263256251976,2,9.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,71343,0.7354,0.4044086099381029,0.3964977807742005,-0.17880000000000001,0.09592925103069372,1,10.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,71346,0.6346,0.3194764131362689,0.31445377524907736,-0.045700000000000005,0.06718972217864895,2,11.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,71346,0.77485,0.3425954739981409,0.34175896785681154,-0.013200000000000002,0.14373256196697504,2,12.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,71346,0.8515,0.5923333078352714,0.6035362510190855,-0.008249999999999993,0.10617295788686448,2,1.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,71346,0.8762000000000001,0.6926828136300307,0.7246020984190923,0.05095,0.11685371924023345,2,2.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,71346,0.7078500000000001,0.5122322803167175,0.5254030019912984,0.10235,0.08386359142775164,2,3.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,71346,0.57375,0.2369590073111666,0.22851973452671806,0.050100000000000006,0.042094326546992626,2,4.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,71346,0.5851500000000001,0.21804828442148755,0.20892902715487197,0.0816,0.04803247337279442,2,5.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,71346,0.65465,0.26746535447750364,0.2597126555705003,0.06175,0.06690560251649247,2,6.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,71346,0.7334499999999999,0.34255990845477485,0.3378388390834635,0.0335,0.09003781753457873,2,7.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,71346,0.8273,0.534908919907561,0.544944077656846,-0.0451,0.08321376104794936,2,8.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,71346,0.7791000000000001,0.527968471014444,0.5293447713035968,0.0296,0.09499138875224158,2,9.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,71346,0.6839500000000001,0.4137498072867229,0.4160165850779568,-0.0691,0.06966757714568685,2,10.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,71346,0.6849000000000001,0.3492118179298817,0.3457025487712186,-0.1448,0.07794545186200096,1,11.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,71346,0.748,0.3917637680675685,0.38858301525473715,0.0085,0.09339448469517903,2,12.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,71346,0.86635,0.5476086272402511,0.5429774377372846,-0.15860000000000002,0.12890509057632926,2,1.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,71346,0.87365,0.6685471464106807,0.6895028645833342,-0.05635,0.10727253721065008,2,2.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,71346,0.7476,0.5258503068224677,0.537102383661783,0.07905000000000001,0.09137144940259816,2,3.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,71346,0.6004499999999999,0.24309388433407722,0.2402019429419859,0.0869,0.03741504522363229,2,4.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,71346,0.5902000000000001,0.23360649141104145,0.22459486401060424,0.07505,0.05372093221256249,2,5.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,71346,0.6292500000000001,0.283881197740425,0.27932065483055374,0.055400000000000005,0.066392774010034,2,6.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,71346,0.738,0.39025142241164096,0.3886630793314199,-0.11610000000000001,0.09253264595732259,2,7.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,71346,0.789,0.5235606555968839,0.5292528495461953,-0.0775,0.08634663450815962,2,8.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,71346,0.78605,0.49204540975572214,0.48631240021265293,-0.11495000000000001,0.09708353527924929,2,9.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,71346,0.745,0.4191193346630815,0.40819827025607824,-0.0955,0.09475010440378692,1,10.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,71346,0.6936500000000001,0.3352708040948396,0.33392983397146103,-0.0044,0.0709617675557018,2,11.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,71346,0.72935,0.38066200225388586,0.3847577185714991,0.018000000000000002,0.0889813689276206,2,12.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,71346,0.8589,0.5265071886249724,0.5331884786353399,0.0315,0.12431988743206199,2,1.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,71346,0.8835500000000001,0.6239452855939221,0.646406664854666,0.05155,0.11326243201970237,2,2.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,71346,0.7916000000000001,0.5124177768983583,0.5254581384117936,0.061000000000000006,0.09386604306075778,2,3.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,71346,0.599,0.2550399010618338,0.2480362791077224,0.0552,0.045064000682860345,2,4.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,71346,0.6084,0.2430383976264468,0.2324446755553164,0.0726,0.05245967096875168,2,5.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,71346,0.6701000000000001,0.3004900015963636,0.2948668730392161,-0.03180000000000001,0.07411757316056156,2,6.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,71346,0.8812,0.45853324963782005,0.4550823799233615,-0.0748,0.107936968677654,2,7.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,71346,0.8955000000000001,0.561709278723421,0.5664732762680337,-0.14,0.09185553629586513,2,8.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,71346,0.78325,0.4683854681401604,0.4589504403154247,0.10140000000000002,0.09978827600882133,2,9.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,71346,0.769,0.37431587390637217,0.36520099233595926,-0.0273,0.09990078013737227,1,10.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,71346,0.6816500000000001,0.3267283521078003,0.3223170640661806,0.043300000000000005,0.07177780278378208,2,11.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,71346,0.78925,0.42981668985391963,0.4315497447331114,0.0026000000000000016,0.10068999630610546,2,12.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,71346,0.8568500000000001,0.5977487196283031,0.6230017311565457,-0.010350000000000002,0.11478710160805285,2,1.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,71346,0.8631,0.6837147655650179,0.7128768306693826,-0.022949999999999998,0.11300035398924722,2,2.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,71346,0.8142,0.5374225183393311,0.5488160478635977,0.005400000000000002,0.09302309363722235,2,3.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,71346,0.6375000000000001,0.2645948121693,0.25586807111929616,0.10520000000000002,0.04535847950530849,2,4.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,71346,0.60145,0.24058260348235647,0.23143559139824027,0.10335,0.055564589878383,2,5.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,71346,0.7258,0.3457103899728358,0.3378899882994013,-0.025600000000000005,0.09406169190313124,2,6.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,71346,0.77905,0.46505381916789523,0.47461924377055575,0.0052,0.09382377650388858,2,7.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,71346,0.82935,0.5285655061402689,0.5370748082789167,-0.029250000000000005,0.07662873150663943,2,8.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,71346,0.8385500000000001,0.4966931209576377,0.49027278706276434,-0.0869,0.11615285457933625,2,9.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,71346,0.6976,0.3608240314114934,0.34953125027053195,0.0475,0.09822167936929051,1,10.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,71346,0.61065,0.3088874710973322,0.30269257704176744,0.03895,0.07249783269183789,2,11.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,71346,0.78935,0.3775619572403802,0.3652033081739934,-0.0524,0.10680035983145364,2,12.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,71346,0.83115,0.5125176560855573,0.5214071077286527,-0.06185,0.1258876913254032,2,1.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,71346,0.8471,0.5859219388850174,0.6074483224818342,0.0032,0.11889785109931468,2,2.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,71346,0.76275,0.5327860720087767,0.5527378443794287,0.12395,0.09755721280525552,2,3.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,71346,0.6008,0.2906405701412779,0.2871140747931391,0.06765,0.049869068054779975,2,4.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,71346,0.6881,0.28002979907048425,0.2675950016243022,0.0741,0.07656306522207941,2,5.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,71346,0.75175,0.39038898075629624,0.39651474358781125,0.06405000000000001,0.0866815146592111,2,6.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,71346,0.81215,0.4854752016174611,0.49412045445332514,0.02695,0.10095477845951746,2,7.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,71346,0.8641000000000001,0.5504155376460996,0.5567080198030512,-0.05070000000000001,0.1114777899519137,2,8.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,71346,0.7736500000000001,0.4833649484322015,0.47851905327750494,-0.12465000000000001,0.10546057076895676,2,9.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,71346,0.6762,0.3696355541204387,0.3691179028182102,-0.0181,0.07200079452828509,2,10.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,71346,0.7251000000000001,0.3521306697101734,0.34962599807469397,0.0165,0.09214305592460358,1,11.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,71346,0.7945500000000001,0.43976926816008466,0.431591230456396,-0.01985,0.111388017625955,2,12.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,71346,0.8524,0.5733892169592865,0.583962268764468,-0.0689,0.11559773846233092,2,1.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,71346,0.8775000000000001,0.6440371318173639,0.6660542166841892,0.04385000000000001,0.1162671188816159,2,2.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
